"","site","Date_UTC","Discharge_Daily_Ave"
"432","ecgs",2022-06-06,0.453069118525713
"433","ecgs",2022-06-07,0.458732482507284
"434","ecgs",2022-06-08,0.528108691281534
"435","ecgs",2022-06-09,2.16057335896949
"436","ecgs",2022-06-10,0.474306733456606
"437","ecgs",2022-06-11,0.443158231557963
"438","ecgs",2022-06-12,0.443158231557963
"439","ecgs",2022-06-13,0.445989913548749
"440","ecgs",2022-06-14,0.443158231557963
"441","ecgs",2022-06-15,0.419088934636284
"442","ecgs",2022-06-16,0.467227528479641
"443","ecgs",2022-06-17,2.19455354285892
"444","ecgs",2022-06-18,0.428999821604034
"445","ecgs",2022-06-19,0.378879050367128
"446","ecgs",2022-06-20,0.385250334846395
"447","ecgs",2022-06-21,0.466661192081484
"448","ecgs",2022-06-22,0.496960189382892
"449","ecgs",2022-06-23,0.465811687484249
"450","ecgs",2022-06-24,0.536603737253892
"451","ecgs",2022-06-25,0.423336457622463
"452","ecgs",2022-06-26,0.522445327299963
"453","ecgs",2022-06-27,0.545098783226248
"454","ecgs",2022-06-28,0.688098723760928
"455","ecgs",2022-06-29,0.45165327753032
"456","ecgs",2022-06-30,0.467227528479642
"457","ecgs",2022-07-01,0.427583980608642
"458","ecgs",2022-07-02,0.458732482507284
"459","ecgs",2022-07-03,0.372790934086938
"460","ecgs",2022-07-04,0.348296884866642
"461","ecgs",2022-07-05,0.378879050367127
"462","ecgs",2022-07-06,0.359623612829785
"463","ecgs",2022-07-07,0.423336457622463
"464","ecgs",2022-07-08,0.45165327753032
"465","ecgs",2022-07-09,3.9431171721691
"466","ecgs",2022-07-10,24.6681976627297
"467","ecgs",2022-07-11,3.78737466267589
"468","ecgs",2022-07-12,0.853752120221892
"469","ecgs",2022-07-13,0.91888080600996
"470","ecgs",2022-07-14,0.991088696774998
"471","ecgs",2022-07-15,0.729158112627319
"472","ecgs",2022-07-16,0.972682763834888
"473","ecgs",2022-07-17,0.529524532276927
"474","ecgs",2022-07-18,0.515366122322998
"475","ecgs",2022-07-19,0.467227528479642
"476","ecgs",2022-07-20,0.536603737253892
"477","ecgs",2022-07-21,18.1694874938765
"478","ecgs",2022-07-22,9.42808518832102
"479","ecgs",2022-07-23,0.867910530175819
"480","ecgs",2022-07-24,0.625801719963641
"481","ecgs",2022-07-25,0.549346306212428
"482","ecgs",2022-07-26,3.30457288324692
"483","ecgs",2022-07-27,0.693762087742498
"484","ecgs",2022-07-28,0.651286857880712
"485","ecgs",2022-07-29,0.739068999595069
"486","ecgs",2022-07-30,0.61022746901432
"487","ecgs",2022-07-31,0.785791752443035
"488","ecgs",2022-08-01,0.842425392258749
"489","ecgs",2022-08-02,0.522445327299963
"490","ecgs",2022-08-03,0.443158231557963
"491","ecgs",2022-08-04,0.49129682540132
"492","ecgs",2022-08-05,0.496960189382892
"493","ecgs",2022-08-06,0.522445327299963
"494","ecgs",2022-08-07,0.489880984405928
"495","ecgs",2022-08-08,0.477138415447392
"496","ecgs",2022-08-09,1.56875182289528
"497","ecgs",2022-08-10,0.53094037327232
"498","ecgs",2022-08-11,0.515366122322998
"499","ecgs",2022-08-12,0.533772055263105
"500","ecgs",2022-08-13,0.489880984405928
"501","ecgs",2022-08-14,0.48138593843357
"502","ecgs",2022-08-15,0.678187836793176
"503","ecgs",2022-08-16,0.604564105032748
"504","ecgs",2022-08-17,0.43777803577547
"505","ecgs",2022-08-18,0.545098783226248
"506","ecgs",2022-08-19,0.539435419244678
"507","ecgs",2022-08-20,0.443158231557963
"508","ecgs",2022-08-21,0.614474992000498
"509","ecgs",2022-08-22,1.26293016789043
"510","ecgs",2022-08-23,0.678187836793177
"511","ecgs",2022-08-24,0.515366122322998
"512","ecgs",2022-08-25,4.02523594990188
"513","ecgs",2022-08-26,3.36120652306264
"514","ecgs",2022-08-27,0.536603737253892
"515","ecgs",2022-08-28,0.536603737253892
"516","ecgs",2022-08-29,0.51111859933682
"517","ecgs",2022-08-30,0.489880984405928
"518","ecgs",2022-08-31,0.512534440332213
"519","ecgs",2022-09-01,0.50120771236907
"520","ecgs",2022-09-02,0.489880984405928
"521","ecgs",2022-09-03,0.415690916247342
"522","ecgs",2022-09-04,0.505455235355249
"523","ecgs",2022-09-05,0.50120771236907
"524","ecgs",2022-09-06,3.49712725862035
"525","ecgs",2022-09-07,1.11851438636035
"526","ecgs",2022-09-08,3.89214689633495
"527","ecgs",2022-09-09,0.765969978507534
"528","ecgs",2022-09-10,0.61022746901432
"529","ecgs",2022-09-11,0.792870957419998
"530","ecgs",2022-09-12,1.08170252048014
"531","ecgs",2022-09-13,1.65936564660043
"532","ecgs",2022-09-14,0.625801719963641
"533","ecgs",2022-09-15,0.639960129917569
"534","ecgs",2022-09-16,0.571999762138713
"535","ecgs",2022-09-17,0.487049302415141
"536","ecgs",2022-09-18,0.496960189382892
"537","ecgs",2022-09-19,0.547930465217034
"538","ecgs",2022-09-20,0.536603737253892
"539","ecgs",2022-09-21,0.549346306212428
"540","ecgs",2022-09-22,0.512534440332213
"541","ecgs",2022-09-23,0.545098783226248
"542","ecgs",2022-09-24,0.52102948630457
"543","ecgs",2022-09-25,0.445989913548749
"544","ecgs",2022-09-26,1.2884153058075
"545","ecgs",2022-09-27,0.505455235355249
"546","ecgs",2022-09-28,0.428999821604034
"547","ecgs",2022-09-29,0.453069118525713
"548","ecgs",2022-09-30,6.69268038522199
"549","ecgs",2022-10-01,25.7017615893665
"550","ecgs",2022-10-02,1.60839537076628
"551","ecgs",2022-10-03,0.788623434433819
"552","ecgs",2022-10-04,0.604564105032748
"553","ecgs",2022-10-05,0.460148323502677
"554","ecgs",2022-10-06,0.419088934636284
"555","ecgs",2022-10-07,0.41200972965932
"556","ecgs",2022-10-08,0.387940432737641
"557","ecgs",2022-10-09,0.387940432737641
"558","ecgs",2022-10-10,0.387940432737641
"559","ecgs",2022-10-11,0.430415662599427
"560","ecgs",2022-10-12,0.436079026580999
"561","ecgs",2022-10-13,0.502623553364463
"562","ecgs",2022-10-14,0.515366122322998
"563","ecgs",2022-10-15,0.427583980608642
"564","ecgs",2022-10-16,0.434663185585606
"565","ecgs",2022-10-17,1.43991029231453
"566","ecgs",2022-10-18,3.91338451126584
"567","ecgs",2022-10-19,0.562088875170963
"568","ecgs",2022-10-20,0.44174239056257
"569","ecgs",2022-10-21,0.387940432737641
"570","ecgs",2022-10-22,0.438910708571784
"571","ecgs",2022-10-23,0.47147505146582
"572","ecgs",2022-10-24,0.44174239056257
"573","ecgs",2022-10-25,0.391621619325663
"574","ecgs",2022-10-26,0.406346365677749
"575","ecgs",2022-10-27,0.436079026580999
"576","ecgs",2022-10-28,0.475722574451999
"577","ecgs",2022-10-29,0.49129682540132
"578","ecgs",2022-10-30,0.512534440332213
"579","ecgs",2022-10-31,0.51111859933682
"580","ecgs",2022-11-01,1.55317757194596
"581","ecgs",2022-11-02,0.515366122322998
"582","ecgs",2022-11-03,0.445989913548749
"583","ecgs",2022-11-04,0.482801779428963
"584","ecgs",2022-11-05,0.492712666396713
"585","ecgs",2022-11-06,0.473032476560752
"586","ecgs",2022-11-07,0.47940376104002
"587","ecgs",2022-11-08,0.467227528479642
"588","ecgs",2022-11-09,0.467227528479642
"589","ecgs",2022-11-10,0.460148323502677
"590","ecgs",2022-11-11,3.73074102286017
"591","ecgs",2022-11-12,3.20546401356942
"592","ecgs",2022-11-13,0.671108631816212
"593","ecgs",2022-11-15,0.479970097438178
"594","ecgs",2022-11-16,2.13225653906164
"595","ecgs",2022-11-17,0.543682942230856
"596","ecgs",2022-11-18,0.445989913548749
"597","ecgs",2022-11-19,0.453918623122949
"598","ecgs",2022-11-20,0.466661192081484
"599","ecgs",2022-11-21,0.43976021316902
"600","ecgs",2022-11-22,0.428433485205878
"601","ecgs",2022-11-23,0.445989913548749
"602","ecgs",2022-11-24,0.473032476560752
